order_id,item_id,product_id,quantity,list_price,discount,total_price,product_name,Category_id,Product_category
1,1,20,1,599.99,0.2,599.79,Electra Townie Original 7D EQ - Women's - 2016,1,Children Bicycles
1,2,8,2,1799.99,0.07,3599.91,Trek Remedy 29 Carbon Frameset - 2016,9,Not found
1,3,10,2,1549,0.05,3097.95,Surly Straggler - 2016,8,Not found
1,4,16,2,599.99,0.05,1199.93,Electra Townie Original 7D EQ - 2016,1,Children Bicycles
1,5,4,1,2899.99,0.2,2899.79,Trek Fuel EX 8 29 - 2016,9,Not found
2,1,20,1,599.99,0.07,599.92,Electra Townie Original 7D EQ - Women's - 2016,1,Children Bicycles
2,2,16,2,599.99,0.05,1199.93,Electra Townie Original 7D EQ - 2016,1,Children Bicycles
3,1,3,1,999.99,0.05,999.94,Surly Wednesday Frameset - 2016,8,Not found
3,2,20,1,599.99,0.05,599.94,Electra Townie Original 7D EQ - Women's - 2016,1,Children Bicycles
4,1,2,2,749.99,0.1,1499.88,Ritchey Timberwolf Frameset - 2016,5,Electric Bikes
5,1,10,2,1549,0.05,3097.95,Surly Straggler - 2016,8,Not found
5,2,17,1,429,0.07,428.93,Pure Cycles Vine 8-Speed - 2016,4,Cyclocross Bicycles
5,3,26,1,599.99,0.07,599.92,Electra Townie Original 7D EQ - 2016,1,Children Bicycles
6,1,18,1,449,0.07,448.93,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,Cyclocross Bicycles
6,2,12,2,549.99,0.05,1099.93,Electra Townie Original 21D - 2016,1,Children Bicycles
6,3,20,1,599.99,0.1,599.89,Electra Townie Original 7D EQ - Women's - 2016,1,Children Bicycles
6,4,3,2,999.99,0.07,1999.91,Surly Wednesday Frameset - 2016,8,Not found
6,5,9,2,2999.99,0.07,5999.91,Trek Conduit+ - 2016,9,Not found
7,1,15,1,529.99,0.07,529.92,Electra Moto 1 - 2016,1,Children Bicycles
7,2,3,1,999.99,0.1,999.89,Surly Wednesday Frameset - 2016,8,Not found
7,3,17,2,429,0.1,857.9,Pure Cycles Vine 8-Speed - 2016,4,Cyclocross Bicycles
8,1,22,1,269.99,0.05,269.94,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Children Bicycles
8,2,20,2,599.99,0.07,1199.91,Electra Townie Original 7D EQ - Women's - 2016,1,Children Bicycles
9,1,7,2,3999.99,0.1,7999.88,Trek Slash 8 27.5 - 2016,9,Not found
10,1,14,1,269.99,0.1,269.89,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Children Bicycles
11,1,8,1,1799.99,0.05,1799.94,Trek Remedy 29 Carbon Frameset - 2016,9,Not found
11,2,22,2,269.99,0.1,539.88,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Children Bicycles
11,3,16,2,599.99,0.2,1199.78,Electra Townie Original 7D EQ - 2016,1,Children Bicycles
12,1,4,2,2899.99,0.1,5799.88,Trek Fuel EX 8 29 - 2016,9,Not found
12,2,11,1,1680.99,0.05,1680.94,Surly Straggler 650b - 2016,8,Not found
13,1,13,1,269.99,0.1,269.89,Electra Cruiser 1 (24-Inch) - 2016,1,Children Bicycles
13,2,17,2,429,0.05,857.95,Pure Cycles Vine 8-Speed - 2016,4,Cyclocross Bicycles
13,3,20,2,599.99,0.1,1199.88,Electra Townie Original 7D EQ - Women's - 2016,1,Children Bicycles
13,4,16,2,599.99,0.05,1199.93,Electra Townie Original 7D EQ - 2016,1,Children Bicycles
14,1,6,1,469.99,0.07,469.92,Surly Ice Cream Truck Frameset - 2016,8,Not found
15,1,12,2,549.99,0.07,1099.91,Electra Townie Original 21D - 2016,1,Children Bicycles
15,2,8,1,1799.99,0.07,1799.92,Trek Remedy 29 Carbon Frameset - 2016,9,Not found
15,3,18,2,449,0.05,897.95,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,Cyclocross Bicycles
15,4,23,2,299.99,0.2,599.78,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Children Bicycles
16,1,8,1,1799.99,0.2,1799.79,Trek Remedy 29 Carbon Frameset - 2016,9,Not found
16,2,21,1,269.99,0.05,269.94,Electra Cruiser 1 (24-Inch) - 2016,1,Children Bicycles
16,3,13,2,269.99,0.07,539.91,Electra Cruiser 1 (24-Inch) - 2016,1,Children Bicycles
16,4,14,1,269.99,0.07,269.92,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Children Bicycles
17,1,8,1,1799.99,0.07,1799.92,Trek Remedy 29 Carbon Frameset - 2016,9,Not found
17,2,23,1,299.99,0.1,299.89,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Children Bicycles
17,3,5,1,1320.99,0.1,1320.89,Heller Shagamaw Frame - 2016,3,Cruisers Bicycles
17,4,20,2,599.99,0.2,1199.78,Electra Townie Original 7D EQ - Women's - 2016,1,Children Bicycles
18,1,2,2,749.99,0.2,1499.78,Ritchey Timberwolf Frameset - 2016,5,Electric Bikes
18,2,22,1,269.99,0.05,269.94,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Children Bicycles
18,3,7,1,3999.99,0.1,3999.89,Trek Slash 8 27.5 - 2016,9,Not found
18,4,25,2,499.99,0.05,999.93,Electra Townie Original 7D - 2015/2016,1,Children Bicycles
18,5,9,2,2999.99,0.1,5999.88,Trek Conduit+ - 2016,9,Not found
19,1,10,1,1549,0.07,1548.93,Surly Straggler - 2016,8,Not found
19,2,9,2,2999.99,0.2,5999.78,Trek Conduit+ - 2016,9,Not found
20,1,9,1,2999.99,0.07,2999.92,Trek Conduit+ - 2016,9,Not found
20,2,10,2,1549,0.07,3097.93,Surly Straggler - 2016,8,Not found
21,1,14,1,269.99,0.05,269.94,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Children Bicycles
21,2,17,1,429,0.1,428.9,Pure Cycles Vine 8-Speed - 2016,4,Cyclocross Bicycles
21,3,10,1,1549,0.07,1548.93,Surly Straggler - 2016,8,Not found
22,1,15,2,529.99,0.2,1059.78,Electra Moto 1 - 2016,1,Children Bicycles
22,2,22,1,269.99,0.05,269.94,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Children Bicycles
23,1,4,2,2899.99,0.05,5799.93,Trek Fuel EX 8 29 - 2016,9,Not found
23,2,23,2,299.99,0.1,599.88,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Children Bicycles
23,3,13,1,269.99,0.2,269.79,Electra Cruiser 1 (24-Inch) - 2016,1,Children Bicycles
24,1,3,2,999.99,0.1,1999.88,Surly Wednesday Frameset - 2016,8,Not found
24,2,18,2,449,0.07,897.93,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,Cyclocross Bicycles
25,1,23,2,299.99,0.2,599.78,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Children Bicycles
25,2,10,2,1549,0.2,3097.8,Surly Straggler - 2016,8,Not found
25,3,22,1,269.99,0.2,269.79,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Children Bicycles
25,4,14,1,269.99,0.2,269.79,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Children Bicycles
25,5,21,1,269.99,0.1,269.89,Electra Cruiser 1 (24-Inch) - 2016,1,Children Bicycles
26,1,7,1,3999.99,0.05,3999.94,Trek Slash 8 27.5 - 2016,9,Not found
